Episode,Return
0,-1481.0
1,-2110.0
2,-2457.4
3,-2569.1428571428573
4,-2483.3333333333335
5,-2555.8888888888887
6,-2694.0
7,-2568.5555555555557
8,-2071.6666666666665
9,-2131.222222222222
10,-1873.4444444444443
11,-1710.5555555555557
12,-1689.888888888889
13,-1650.0
14,-1555.7777777777778
15,-1460.6666666666667
16,-1427.6666666666667
17,-1565.6666666666667
18,-1561.4444444444443
19,-1556.3333333333333
20,-1602.5555555555557
21,-1624.2222222222222
22,-1899.7777777777778
23,-1885.111111111111
24,-1858.0
25,-1955.3333333333333
26,-1931.111111111111
27,-2008.4444444444443
28,-2117.8888888888887
29,-2168.1111111111113
30,-2091.0
31,-1968.4444444444443
32,-1976.888888888889
33,-1965.888888888889
34,-1826.3333333333333
35,-1739.888888888889
36,-1736.4444444444443
37,-1717.2222222222222
38,-1904.0
39,-1897.5555555555557
40,-1810.888888888889
41,-1745.4444444444443
42,-1683.7777777777778
43,-1683.5555555555557
44,-2017.2222222222222
45,-1919.7777777777778
46,-1758.888888888889
47,-1535.5555555555557
48,-1480.888888888889
49,-1469.4444444444443
50,-1460.0
51,-1416.888888888889
52,-1498.5555555555557
53,-1379.5555555555557
54,-1448.2222222222222
55,-1566.3333333333333
56,-1596.888888888889
57,-1592.888888888889
58,-1509.6666666666667
59,-1470.888888888889
60,-1750.3333333333333
61,-1750.6666666666667
62,-1874.7777777777778
63,-1751.5555555555557
64,-1753.4444444444443
65,-1671.5555555555557
66,-1748.111111111111
67,-1755.888888888889
68,-1947.0
69,-1708.4444444444443
70,-1768.0
71,-1581.2222222222222
72,-1602.5555555555557
73,-1815.5555555555557
74,-1891.7777777777778
75,-1826.0
76,-1972.6666666666667
77,-1904.3333333333333
78,-1768.2222222222222
79,-1731.0
80,-1728.2222222222222
81,-1814.111111111111
82,-1578.3333333333333
83,-1562.5555555555557
84,-1599.6666666666667
85,-1496.111111111111
86,-1595.3333333333333
87,-1778.2222222222222
88,-1907.111111111111
89,-1719.888888888889
90,-1866.5555555555557
91,-1797.4444444444443
92,-1795.4444444444443
93,-1784.7777777777778
94,-1697.111111111111
95,-1546.111111111111
96,-1468.7777777777778
97,-1320.111111111111
98,-1557.888888888889
99,-1282.5555555555557
100,-1285.0
101,-1213.888888888889
102,-1171.5555555555557
103,-1149.2222222222222
104,-1163.111111111111
105,-1277.0
106,-1194.3333333333333
107,-1181.2222222222222
108,-1240.2222222222222
109,-1293.3333333333333
110,-1300.0
111,-1325.4444444444443
112,-1345.5555555555557
113,-1370.0
114,-1459.3333333333333
115,-1462.111111111111
116,-1229.6666666666667
117,-1273.6666666666667
118,-1407.7777777777778
119,-1433.5555555555557
120,-1795.888888888889
121,-1780.0
122,-1724.111111111111
123,-1646.888888888889
124,-1763.5555555555557
125,-1822.0
126,-1801.5555555555557
127,-1964.2222222222222
128,-2035.5555555555557
129,-1670.888888888889
130,-1689.6666666666667
131,-1839.2222222222222
132,-1809.6666666666667
133,-1741.3333333333333
134,-1682.111111111111
135,-1656.2222222222222
136,-1344.4444444444443
137,-1264.5555555555557
138,-1257.0
139,-1246.7777777777778
140,-1132.7777777777778
141,-1046.7777777777778
142,-1057.111111111111
143,-1474.3333333333333
144,-1386.888888888889
145,-1426.7777777777778
146,-1384.3333333333333
147,-1330.5555555555557
148,-1433.111111111111
149,-1512.3333333333333
150,-1399.0
151,-1442.7777777777778
152,-1269.4444444444443
153,-1290.0
154,-1234.2222222222222
155,-1204.4444444444443
156,-1193.7777777777778
157,-1231.0
158,-1310.7777777777778
159,-1429.4444444444443
160,-1417.7777777777778
161,-1261.6666666666667
162,-1591.888888888889
163,-1509.2222222222222
164,-1662.888888888889
165,-1760.5555555555557
166,-1967.4444444444443
167,-1884.888888888889
168,-1986.111111111111
169,-2015.2222222222222
170,-1990.6666666666667
171,-1649.4444444444443
172,-1763.111111111111
173,-1748.7777777777778
174,-2008.6666666666667
175,-1584.5555555555557
176,-1667.5555555555557
177,-1552.2222222222222
178,-1555.888888888889
179,-1609.2222222222222
180,-1876.5555555555557
181,-2297.6666666666665
182,-2323.4444444444443
183,-1991.5555555555557
184,-2212.5555555555557
185,-2107.777777777778
186,-2364.8888888888887
187,-2235.1111111111113
