Episode,Return
0,-1481.0
1,-2130.0
2,-2719.0
3,-4885.0
4,-1072.0
5,-3605.0
6,-2092.0
7,-2356.0
8,-2010.0
9,-2134.0
10,-3373.0
11,-1590.0
12,-413.0
13,-1608.0
14,-1285.0
15,-626.0
16,-2170.0
17,-1651.0
18,-1286.0
19,-2517.0
20,-1293.0
21,-1655.0
22,-1570.0
23,-1239.0
24,-1042.0
25,-2365.0
26,-4131.0
27,-1154.0
28,-2273.0
29,-2169.0
30,-1437.0
31,-2266.0
32,-2224.0
33,-1494.0
34,-1671.0
35,-3028.0
36,-1230.0
37,-2174.0
38,-913.0
39,-659.0
40,-2235.0
41,-2051.0
42,-3175.0
43,-1613.0
44,-2248.0
45,-641.0
46,-1619.0
47,-911.0
48,-3662.0
49,-1358.0
50,-603.0
51,-1165.0
52,-1121.0
53,-2145.0
54,-556.0
55,-1231.0
56,-1646.0
57,-2591.0
58,-1976.0
59,-1666.0
60,-1440.0
61,-1085.0
62,-1396.0
63,-207.0
64,-3746.0
65,-1649.0
66,-3708.0
67,-867.0
68,-1683.0
69,-703.0
70,-1774.0
71,-1466.0
72,-1927.0
73,-1599.0
74,-2185.0
75,-2027.0
76,-1059.0
77,-3600.0
78,-1389.0
79,-1182.0
80,-2786.0
81,-1312.0
82,-374.0
83,-1850.0
84,-2002.0
85,-1832.0
86,-1478.0
87,-1247.0
88,-1516.0
89,-1854.0
90,-2205.0
91,-2020.0
92,-3010.0
93,-317.0
94,-3152.0
95,-856.0
96,-1229.0
97,-1420.0
98,-1065.0
99,-846.0
100,-1324.0
101,-1672.0
102,-2457.0
103,-674.0
104,-878.0
105,-589.0
106,-1039.0
107,-864.0
108,-971.0
109,-2349.0
110,-928.0
111,-2339.0
112,-1205.0
113,-1356.0
114,-649.0
115,-1268.0
116,-1045.0
117,-1191.0
118,-3153.0
119,-953.0
120,-247.0
121,-1601.0
122,-2563.0
123,-881.0
124,-4529.0
125,-902.0
126,-688.0
127,-2458.0
128,-2003.0
