Wall time,Step,Value
1650440878,6,-2666
1650440921,7,-5217
1650441078,11,-919
1650441111,12,-2792
1650441167,14,-4163
1650441215,15,-1610
1650441267,16,-1798
1650441363,18,-1343
1650441392,19,-3243
1650441431,20,-3837
1650441469,21,-2591
1650441592,25,-4916
1650441999,34,-3744
1650442041,35,-865
1650442131,37,-2162
1650442237,40,-2501
1650442269,41,-3543
1650442320,43,-1596
1650442378,45,-2247
1650442420,46,-2414
1650442507,48,-566
1650442579,50,-2966
1650442607,51,-3335
1650442709,54,-1886
1650442750,55,-5642
1650442780,56,-2414
1650442805,57,-2143
1650442836,58,-2456
1650442988,61,-905
1650443045,62,-3621
1650443123,64,-5257
1650443202,66,-2096
1650443247,67,-3266
1650443285,68,-1464
1650443321,69,-667
1650443474,72,-2770
1650443541,73,-1958
1650443577,74,-3434
1650443598,75,-4717
1650443668,77,-1727
1650443752,80,-4077
1650443917,85,-3995
1650443956,86,-5597
1650443983,87,-3135
1650444027,88,-2854
1650444058,89,-2463
1650444080,90,-891
1650444761,95,-3346
1650446090,103,-2737
1650446730,106,-277
1650446855,107,-455
1650447935,114,-596
1650448458,117,-1185
1650448718,119,-2875
1650448792,120,-1104
1650449025,121,-1991
1650449814,125,-4630
1650450072,126,-853
1650450247,127,36
1650450687,130,-1235
1650450823,131,-3186
1650451370,134,-861
1650452341,138,-5208
1650452692,140,-2021
1650452893,142,-1940
1650453151,143,-1233
1650453218,144,-813
1650453446,145,-636
1650454173,149,-82
1650454522,151,-1293
1650455311,154,-1539
1650455468,155,-1749
1650455581,156,-1433
1650455976,158,-221
1650456200,159,-1388
1650456353,160,-5376
1650456973,163,-265
1650457410,165,-807
1650457509,166,-727
1650458060,168,-515
1650458199,169,-1401
1650458800,172,-438
1650459959,177,-3149
1650460058,178,-2752
1650460316,179,-1500
1650460602,181,-5418
1650460800,182,-3516
1650461169,184,-665
1650461443,186,-930
1650461669,187,-13
1650461911,188,-598
1650462183,189,-379
1650462524,191,-1976
1650462726,192,-1013
1650464329,199,-1142
1650465240,203,-1098
1650466352,207,-928
1650466505,208,-3352
1650466789,209,-1526
1650467715,213,-2834
1650468199,216,-4578
1650468741,219,-1306
1650468894,220,-554
1650469273,223,-1239
1650469604,224,-3120
1650470093,226,-388
1650470270,227,-855
1650470393,228,-1395
1650470714,230,-6589
1650470890,231,-2569
1650471274,233,-1442
1650471440,234,-5580
1650471632,235,-1615
1650472207,238,-328
1650472589,241,-1020
1650473400,246,-943
1650473617,248,-3436
1650473874,250,-2388
1650474127,251,-2914
1650475371,256,-306
1650475871,259,-999
1650476066,260,-909
1650476227,261,-76
1650476380,262,-1150
1650476666,264,-6123
1650477486,268,-1333
1650477760,270,-4286
1650478130,272,-3180
1650478449,274,-2252
1650479254,279,-3052
1650479653,281,-2100
1650480345,285,-1687
1650481514,290,82
1650481915,292,-28
1650482190,293,-2083
1650482818,296,-1312
1650483183,298,-720
1650483568,299,-243
1650483732,300,-104
1650484153,302,-3118
1650484489,303,-5058
1650484655,304,-569
1650485416,308,-161
1650485561,309,-2488
1650486007,311,-1487
1650486756,314,-1421
1650487653,318,-166
1650487821,319,-698
1650488095,320,-77
1650488260,321,-1934
1650488629,323,-2349
1650489088,326,-5586
1650489257,327,-3055
1650489310,328,-1637
1650489714,331,-1586
1650489854,332,-2616
1650490051,334,-2067
1650491216,340,-488
1650491392,342,-782
1650491723,345,-214
1650491950,346,-278
1650492400,348,-1285
1650492563,349,-3104
1650493145,354,-1517
1650493213,355,-1195
1650493633,357,-795
1650494057,359,-1485
1650494237,360,-1243
1650494347,361,-13
1650494835,364,-2402
1650495017,365,-4715
1650495383,368,-81
1650495454,369,-9694
1650495676,371,-1997
1650495864,372,-1666
1650496116,374,-3266
1650496827,378,-1245
1650497016,379,-5156
1650497132,380,-442
1650497709,382,-4041
1650497850,383,-2540
1650498232,386,-1061
1650498492,387,-7405
1650498626,388,-1566
1650498698,389,-1561
1650498974,391,-2685
1650499127,392,-6264
1650499374,393,-267
1650499481,394,-980
1650500949,403,-3944
1650501092,404,-1566
1650501338,406,-6904
1650502072,409,-350
1650503006,416,-2920
1650503150,417,-138
1650503843,421,-23
1650503976,422,-5603
1650504155,423,-2463
1650504452,425,-5128
1650504578,427,-1506
1650505263,431,-3130
1650506896,440,-887
1650507034,441,-1566
1650507261,442,-1560
1650507425,443,-205
1650507831,445,-3960
1650507972,446,-735
1650508401,449,-13396
1650508794,452,-2040
1650510192,459,-1031
1650510406,460,-1196
1650510554,461,-1927
1650510690,462,-3904
1650511091,464,-2580
1650511314,465,-6612
1650511650,466,-3700
1650511887,468,-2085
1650512031,469,-4001
