Wall time,Step,Value
1650440878,6,2219
1650440921,7,4272
1650441078,11,881
1650441111,12,2267
1650441167,14,3413
1650441215,15,1456
1650441267,16,1590
1650441363,18,1207
1650441392,19,2604
1650441431,20,3222
1650441469,21,2203
1650441592,25,4086
1650441999,34,3114
1650442041,35,817
1650442131,37,1890
1650442237,40,2137
1650442269,41,2937
1650442320,43,1376
1650442378,45,1725
1650442420,46,2093
1650442507,48,591
1650442579,50,2536
1650442607,51,2800
1650442709,54,1648
1650442750,55,4654
1650442780,56,2108
1650442805,57,1873
1650442836,58,2102
1650442988,61,884
1650443045,62,3055
1650443123,64,4065
1650443202,66,1751
1650443247,67,2594
1650443285,68,1294
1650443321,69,620
1650443474,72,2356
1650443541,73,1739
1650443577,74,2912
1650443598,75,3844
1650443668,77,1529
1650443752,80,3440
1650443917,85,3339
1650443956,86,4660
1650443983,87,2606
1650444027,88,2526
1650444058,89,2117
1650444080,90,773
1650444761,95,2737
1650446090,103,2400
1650446730,106,378
1650446855,107,487
1650447935,114,644
1650448458,117,1007
1650448718,119,2520
1650448792,120,957
1650449025,121,1450
1650449814,125,3933
1650450072,126,847
1650450247,127,131
1650450687,130,1163
1650450824,131,2735
1650451370,134,855
1650452341,138,4439
1650452692,140,1821
1650452893,142,1757
1650453151,143,1181
1650453218,144,850
1650453446,145,674
1650454173,149,228
1650454522,151,1232
1650455311,154,1443
1650455468,155,1453
1650455581,156,1333
1650455976,158,351
1650456200,159,1271
1650456353,160,4662
1650456973,163,363
1650457410,165,822
1650457509,166,766
1650458060,168,598
1650458199,169,1327
1650458800,172,498
1650459959,177,2776
1650460058,178,2436
1650460316,179,1272
1650460602,181,4641
1650460800,182,3056
1650461169,184,730
1650461443,186,946
1650461669,187,169
1650461911,188,658
1650462183,189,499
1650462524,191,1808
1650462726,192,982
1650464329,199,1103
1650465240,203,1074
1650466352,207,941
1650466505,208,2844
1650466789,209,1403
1650467715,213,2395
1650468199,216,3810
1650468741,219,1250
1650468894,220,574
1650469273,223,1199
1650469604,224,2616
1650470093,226,455
1650470270,227,854
1650470393,228,1326
1650470714,230,5227
1650470890,231,2357
1650471274,233,1293
1650471440,234,4928
1650471632,235,1527
1650472207,238,385
1650472589,241,1020
1650473400,246,963
1650473617,248,2999
1650473874,250,1948
1650474127,251,2675
1650475371,256,421
1650475871,259,967
1650476066,260,956
1650476227,261,225
1650476380,262,1155
1650476666,264,5344
1650477486,268,1155
1650477760,270,3827
1650478130,272,2912
1650478449,274,2027
1650479254,279,2757
1650479653,281,1790
1650480345,285,1575
1650481514,290,103
1650481915,292,195
1650482190,293,1970
1650482818,296,1283
1650483183,298,791
1650483568,299,354
1650483732,300,242
1650484153,302,2866
1650484489,303,4541
1650484655,304,656
1650485416,308,308
1650485561,309,2336
1650486007,311,1458
1650486756,314,1405
1650487653,318,309
1650487821,319,766
1650488095,320,238
1650488260,321,1535
1650488629,323,2186
1650489088,326,4810
1650489257,327,2736
1650489310,328,1614
1650489714,331,1460
1650489854,332,2483
1650490051,334,1957
1650491216,340,595
1650491392,342,860
1650491723,345,345
1650491950,346,419
1650492400,348,1252
1650492563,349,2929
1650493145,354,1355
1650493213,355,1254
1650493633,357,804
1650494057,359,1474
1650494237,360,1275
1650494347,361,178
1650494835,364,2322
1650495017,365,4304
1650495383,368,202
1650495454,369,8766
1650495676,371,1923
1650495864,372,1650
1650496116,374,3072
1650496827,378,1284
1650497016,379,4781
1650497132,380,558
1650497709,382,3813
1650497850,383,2428
1650498232,386,1139
1650498492,387,6856
1650498626,388,1558
1650498698,389,1558
1650498974,391,2595
1650499127,392,5660
1650499374,393,410
1650499481,394,1066
1650500949,403,3708
1650501092,404,1607
1650501338,406,6397
1650502072,409,467
1650503006,416,2823
1650503150,417,287
1650503843,421,167
1650503976,422,5238
1650504155,423,2415
1650504452,425,4851
1650504578,427,1551
1650505263,431,3051
1650506896,440,986
1650507034,441,1596
1650507261,442,1540
1650507425,443,359
1650507831,445,3736
1650507972,446,862
1650508401,449,12458
1650508794,452,2044
1650510192,459,1102
1650510406,460,1264
1650510554,461,1928
1650510690,462,3769
1650511091,464,2560
1650511314,465,6273
1650511650,466,3602
1650511887,468,2041
1650512031,469,3750
1650512245,470,1798
