Wall time,Step,Value
1650323910.5867522,2,-7246.0
1650323923.767202,3,-2783.0
1650323956.4021988,4,-5771.0
1650323973.7683492,5,-2409.0
1650323997.0289762,6,-3379.0
1650324031.5088487,7,-4625.0
1650324052.3848464,8,-2733.0
1650324106.4170945,9,-7300.0
1650324149.4586065,10,-5831.0
1650324201.2335398,11,-8663.0
1650324208.8161833,12,-1203.0
1650324225.0051513,13,-2690.0
1650324251.6026924,14,-4535.0
1650324274.2640538,15,-3784.0
1650324300.1389508,16,-4413.0
1650324316.2607918,17,-2679.0
1650324341.9770544,18,-4392.0
1650324370.3969505,19,-4848.0
1650324401.5325398,20,-5345.0
1650324423.2006428,21,-3631.0
1650324444.2722118,22,-3509.0
1650324462.527824,23,-3060.0
1650324492.2136202,24,-5038.0
1650324526.4867666,25,-5777.0
1650324547.6611052,26,-3577.0
1650324598.7257113,27,-9006.0
1650324618.7123,28,-3348.0
1650324637.6815736,29,-3231.0
1650324673.067873,30,-6242.0
1650324694.0123973,31,-3581.0
1650324716.2149956,32,-3769.0
1650324742.4329216,33,-4551.0
1650324766.2656446,34,-3879.0
1650324783.3478649,35,-2762.0
1650324812.6041763,36,-4937.0
1650324829.876786,37,-2901.0
1650324853.481365,38,-4120.0
1650324881.7856145,39,-4850.0
1650324915.2775311,40,-5772.0
1650324927.172663,41,-1959.0
1650324944.951717,42,-3006.0
1650324966.203885,43,-3616.0
1650324979.5961344,44,-2248.0
1650325006.1962147,45,-4674.0
1650325039.6903057,46,-5866.0
1650325092.897567,47,-9399.0
1650325117.9526062,48,-4417.0
1650325156.971116,49,-6835.0
1650325176.9029813,50,-3456.0
1650325205.4514706,51,-5028.0
1650325229.096875,52,-4073.0
1650325238.5818236,53,-1509.0
1650325254.285742,54,-2689.0
1650325300.1787071,55,-8246.0
1650325315.2286448,56,-2560.0
1650325347.2100003,57,-5541.0
1650325377.2661812,58,-5315.0
1650325394.8043485,59,-2937.0
1650325414.3182948,60,-3357.0
1650325435.7741058,61,-3675.0
1650325460.2946913,62,-4260.0
1650325474.5881686,63,-2361.0
1650325494.2059877,64,-3403.0
1650325522.969489,65,-5109.0
1650325542.9024732,66,-3633.0
1650325555.8119721,67,-2687.0
1650325571.391597,68,-3288.0
1650325585.027401,69,-2755.0
1650325605.0549805,70,-3759.0
1650325623.5412292,71,-3362.0
1650325643.1385992,72,-3585.0
1650325666.1615973,73,-4195.0
1650325693.854694,74,-5112.0
1650325718.2967887,75,-4522.0
1650325739.7670643,76,-3894.0
1650325761.5602999,77,-3868.0
1650325783.7887785,78,-4018.0
1650325815.2797935,79,-5833.0
1650325838.0803072,80,-4127.0
1650325846.0781534,81,-1312.0
1650325882.7115903,82,-6693.0
1650325895.3297648,83,-2232.0
1650325909.6540947,84,-2583.0
1650325947.6726162,85,-6921.0
1650325969.8360662,86,-4021.0
1650325988.816642,87,-3444.0
1650326011.751903,88,-4167.0
1650326040.305204,89,-5177.0
1650326057.8861673,90,-3115.0
1650326091.488092,91,-6119.0
1650326111.656027,92,-3558.0
1650326131.2152402,93,-3509.0
1650326148.6403947,94,-3077.0
1650326170.1319337,95,-3802.0
1650326192.7116823,96,-4098.0
1650326214.0257165,97,-3786.0
1650326235.890629,98,-3912.0
1650326265.1135018,99,-5354.0
1650326283.7127945,100,-3293.0
1650326300.4493518,101,-2935.0
1650326345.7181706,102,-8343.0
1650326378.663146,103,-5903.0
1650326396.3148289,104,-3134.0
1650326431.6308153,105,-6358.0
1650326448.98426,106,-2986.0
1650326478.6667466,107,-5277.0
1650326515.9849093,108,-6672.0
1650326528.857603,109,-2182.0
1650326554.1377547,110,-4696.0
1650326576.2990525,111,-3939.0
1650326592.9392023,112,-2908.0
1650326620.1285975,113,-4711.0
1650326650.00317,114,-4875.0
1650326661.7482092,115,-1858.0
1650326698.058053,116,-5986.0
1650326732.4386494,117,-5618.0
1650326763.8689346,118,-5180.0
1650326777.9352164,119,-2224.0
1650326805.1021004,120,-4473.0
1650326824.145551,121,-3042.0
1650326844.060108,122,-3209.0
1650326871.9650548,123,-4512.0
1650326888.9454927,124,-2682.0
1650326930.528687,125,-6825.0
