Wall time,Step,Value
1650323910.5867522,2,4920.0
1650323923.767202,3,1976.0
1650323956.4021988,4,3972.0
1650323973.7683492,5,1753.0
1650323997.0289762,6,2394.0
1650324031.5088487,7,3245.0
1650324052.3848464,8,1971.0
1650324106.4170945,9,5059.0
1650324149.4586065,10,4037.0
1650324201.2335398,11,5995.0
1650324208.8161833,12,909.0
1650324225.0051513,13,1975.0
1650324251.6026924,14,3194.0
1650324274.2640538,15,2721.0
1650324300.1389508,16,3095.0
1650324316.2607918,17,1923.0
1650324341.9770544,18,3065.0
1650324370.3969505,19,3396.0
1650324401.5325398,20,3692.0
1650324423.2006428,21,2580.0
1650324444.2722118,22,2506.0
1650324462.527824,23,2181.0
1650324492.2136202,24,3516.0
1650324526.4867666,25,4067.0
1650324547.6611052,26,2551.0
1650324598.7257113,27,6278.0
1650324618.7123,28,2441.0
1650324637.6815736,29,2321.0
1650324673.067873,30,4309.0
1650324694.0123973,31,2530.0
1650324716.2149956,32,2687.0
1650324742.4329216,33,3165.0
1650324766.2656446,34,2764.0
1650324783.3478649,35,2004.0
1650324812.6041763,36,3481.0
1650324829.876786,37,2097.0
1650324853.481365,38,2863.0
1650324881.7856145,39,3422.0
1650324915.2775311,40,4064.0
1650324927.172663,41,1452.0
1650324944.951717,42,2153.0
1650324966.203885,43,2608.0
1650324979.6117702,44,1639.0
1650325006.1962147,45,3274.0
1650325039.6903057,46,4125.0
1650325092.897567,47,6575.0
1650325117.9526062,48,3098.0
1650325156.971116,49,4808.0
1650325176.9029813,50,2481.0
1650325205.4514706,51,3535.0
1650325229.096875,52,2916.0
1650325238.5818236,53,1169.0
1650325254.285742,54,1966.0
1650325300.1787071,55,5713.0
1650325315.2286448,56,1877.0
1650325347.2100003,57,3949.0
1650325377.2661812,58,3728.0
1650325394.8043485,59,2158.0
1650325414.3182948,60,2417.0
1650325435.7741058,61,2657.0
1650325460.2946913,62,3043.0
1650325474.5881686,63,1764.0
1650325494.2059877,64,2424.0
1650325522.969489,65,3673.0
1650325542.9024732,66,2636.0
1650325555.8119721,67,1966.0
1650325571.391597,68,2368.0
1650325585.027401,69,2047.0
1650325605.0549805,70,2717.0
1650325623.5412292,71,2420.0
1650325643.1385992,72,2556.0
1650325666.1615973,73,2992.0
1650325693.854694,74,3630.0
1650325718.2967887,75,3206.0
1650325739.7670643,76,2807.0
1650325761.5602999,77,2836.0
1650325783.7887785,78,2885.0
1650325815.2797935,79,4102.0
1650325838.0803072,80,2971.0
1650325846.0781534,81,1047.0
1650325882.7115903,82,4740.0
1650325895.3297648,83,1653.0
1650325909.6540947,84,1882.0
1650325947.6726162,85,4928.0
1650325969.8360662,86,2894.0
1650325988.816642,87,2461.0
1650326011.751903,88,3000.0
1650326040.305204,89,3713.0
1650326057.8861673,90,2300.0
1650326091.488092,91,4380.0
1650326111.656027,92,2644.0
1650326131.2152402,93,2566.0
1650326148.6403947,94,2274.0
1650326170.1319337,95,2812.0
1650326192.7116823,96,2951.0
1650326214.0257165,97,2775.0
1650326235.890629,98,2853.0
1650326265.1135018,99,3826.0
1650326283.7127945,100,2424.0
1650326300.4493518,101,2184.0
1650326345.7181706,102,5918.0
1650326378.663146,103,4212.0
1650326396.3148289,104,2297.0
1650326431.6308153,105,4586.0
1650326448.98426,106,2248.0
1650326478.6667466,107,3843.0
1650326516.0005355,108,4756.0
1650326528.857603,109,1664.0
1650326554.1377547,110,3255.0
1650326576.2990525,111,2866.0
1650326592.9392023,112,2148.0
1650326620.1285975,113,3426.0
1650326650.00317,114,3573.0
1650326661.7482092,115,1401.0
1650326698.058053,116,4337.0
1650326732.4386494,117,4087.0
1650326763.8689346,118,3762.0
1650326777.9352164,119,1673.0
1650326805.1021004,120,3220.0
1650326824.145551,121,2271.0
1650326844.060108,122,2371.0
1650326871.9650548,123,3324.0
1650326888.9454927,124,2008.0
1650326930.528687,125,4945.0
1650326948.3014078,126,2108.0
1650326970.732307,127,2668.0
1650326987.7667449,128,2032.0
1650327000.8197203,129,1559.0
1650327035.3463497,130,4083.0
1650327089.3595674,131,6402.0
1650327117.3750708,132,3331.0
1650327125.9821553,133,1023.0
1650327141.3398757,134,1827.0
1650327156.0364287,135,1762.0
1650327178.6615908,136,2680.0
1650327203.1799133,137,2925.0
1650327216.8045344,138,1624.0
1650327237.429962,139,2431.0
1650327263.4532177,140,3098.0
1650327276.0095527,141,1499.0
1650327295.3277242,142,2301.0
1650327345.4286048,143,5807.0
1650327378.651256,144,3827.0
1650327402.6146286,145,2780.0
1650327431.6886995,146,3360.0
1650327454.5314095,147,2697.0
1650327483.658727,148,3457.0
1650327512.077676,149,3350.0
1650327542.867922,150,3621.0
1650327561.3312793,151,2187.0
1650327589.4526732,152,3276.0
1650327614.2561429,153,2954.0
1650327654.3351223,154,4773.0
1650327680.1197271,155,3090.0
1650327697.147559,156,2023.0
1650327709.5356348,157,1475.0
1650327727.86578,158,2183.0
1650327749.120247,159,2486.0
1650327761.5297267,160,1481.0
1650327772.354472,161,1281.0
1650327788.700893,162,1950.0
1650327803.1906295,163,1731.0
1650327825.4866138,164,2652.0
1650327854.9083633,165,3526.0
1650327870.6560755,166,1888.0
1650327895.7531028,167,2986.0
1650327919.6279998,168,2848.0
1650327972.8003526,169,6337.0
1650328008.1308484,170,4180.0
1650328038.7278938,171,3652.0
1650328064.9727368,172,3122.0
1650328088.7628665,173,2808.0
1650328114.1589365,174,3042.0
1650328132.1011264,175,2144.0
1650328145.956735,176,1644.0
1650328169.6156197,177,2817.0
1650328199.938436,178,3583.0
1650328215.8795087,179,1886.0
1650328245.0402317,180,3466.0
1650328257.4918194,181,1479.0
1650328280.258536,182,2697.0
1650328296.9425735,183,1974.0
1650328322.0459282,184,2992.0
1650328345.8321338,185,2821.0
1650328369.9537773,186,2854.0
1650328400.7612114,187,3640.0
1650328425.8043666,188,2925.0
1650328460.4098449,189,4085.0
1650328477.9151785,190,2078.0
1650328502.593728,191,2932.0
1650328520.4614058,192,2124.0
1650328544.9704955,193,2925.0
1650328582.2407446,194,4294.0
1650328606.883523,195,2928.0
1650328634.629183,196,3289.0
1650328665.0346832,197,3592.0
1650328690.578901,198,2977.0
1650328711.3821495,199,2430.0
1650328738.620123,200,3238.0
1650328778.6938536,201,4734.0
1650328810.7691078,202,3788.0
1650328841.4234872,203,3629.0
1650328867.838261,204,3135.0
1650328897.7109942,205,3547.0
1650328924.9584136,206,3234.0
1650328951.1376956,207,3110.0
1650328968.1533535,208,2024.0
1650328994.5409276,209,3124.0
1650329021.6259553,210,3219.0
1650329052.6591105,211,3679.0
1650329083.4243588,212,3656.0
1650329118.4150155,213,4153.0
1650329156.0109503,214,4456.0
1650329193.1788497,215,4394.0
1650329226.4152133,216,3950.0
1650329246.8735259,217,2415.0
1650329274.768424,218,3317.0
1650329302.0134108,219,3235.0
1650329354.1733649,220,6190.0
1650329368.6731474,221,1708.0
1650329387.8752375,222,2274.0
1650329453.9158773,223,7808.0
1650329470.4818237,224,1963.0
1650329492.1182008,225,2567.0
1650329504.2879536,226,1446.0
1650329527.0036633,227,2696.0
