Episode,Return,Step,
0,-913,929,-0.98277718
1,-5265,3749,-1.4043745
2,-1280,1131,-1.131741821
3,-2871,2147,-1.337214718
4,-3443,2684,-1.282786885
5,-2275,1786,-1.273796193
6,-3446,2613,-1.318790662
7,-4266,3193,-1.336047604
8,-1991,1664,-1.196514423
9,-1714,1446,-1.185338866
10,-1946,1634,-1.190942472
11,-1041,986,-1.055780933
12,-3161,2362,-1.33827265
13,-1855,1569,-1.182281708
14,-2436,2042,-1.19294809
15,-2424,1964,-1.234215886
16,-7660,5440,-1.408088235
17,-3724,2669,-1.395279131
18,-1692,1448,-1.168508287
19,-3099,2425,-1.277938144
20,-365,463,-0.788336933
21,-1334,1196,-1.115384615
22,-2391,1856,-1.28825431
23,-2907,2183,-1.331653688
24,-1678,1477,-1.136086662
25,-2025,1720,-1.177325581
26,-2705,2265,-1.194260486
27,-4468,3326,-1.343355382
28,-4147,3196,-1.297559449
29,-2284,1820,-1.254945055
30,-2530,1930,-1.310880829
31,-2435,1868,-1.303533191
32,-1206,1050,-1.148571429
33,-955,932,-1.024678112
34,-973,886,-1.098194131
35,-2713,2160,-1.256018519
36,-1513,1243,-1.217216412
37,-912,963,-0.947040498
38,-1825,1435,-1.271777003
39,-3713,2790,-1.330824373
40,-4379,3198,-1.369293308
41,-2171,1881,-1.154173312
42,-2466,1960,-1.258163265
43,-3688,2966,-1.243425489
44,-1954,1545,-1.264724919
45,-1685,1457,-1.15648593
46,-1893,1542,-1.227626459
47,-2685,2098,-1.279790276
48,-1575,1348,-1.168397626
49,-2650,2080,-1.274038462
50,-3734,2781,-1.342682488
51,-2141,1669,-1.282804074
52,-2117,1683,-1.257872846
53,-1522,1360,-1.119117647
54,-1238,1120,-1.105357143
55,-2043,1557,-1.312138728
56,-1073,993,-1.080563948
57,-2089,1658,-1.259951749
58,-2755,2197,-1.253982704
59,-2766,2102,-1.315889629
60,-1741,1478,-1.177943166
61,-1336,1186,-1.126475548
62,-2640,1994,-1.323971916
63,-1992,1670,-1.192814371
64,-2021,1590,-1.271069182
65,-3281,2531,-1.296325563
66,-3950,2965,-1.332209106
67,-1281,1126,-1.137655417
68,-2187,1659,-1.318264014
69,-2088,1665,-1.254054054
70,-2548,1937,-1.315436242
71,-2422,1973,-1.227572225
72,-2767,2236,-1.237477639
73,-2479,1847,-1.342176502
74,-5525,4071,-1.357160403
75,-2000,1643,-1.217285453
76,-2680,2057,-1.302868255
77,-1992,1729,-1.152111047
78,-2400,1864,-1.287553648
79,-878,880,-0.997727273
80,-1101,1039,-1.059672762
81,-1726,1568,-1.100765306
82,-1555,1337,-1.163051608
83,-2098,1688,-1.242890995
84,-2139,1682,-1.271700357
85,-1096,997,-1.099297894
86,-2635,2188,-1.204296161
87,-924,899,-1.027808676
88,-3520,2739,-1.285140562
89,-1745,1451,-1.202618884
90,-1078,1011,-1.066271019
91,-1366,1163,-1.174548581
92,-1784,1508,-1.183023873
93,-497,499,-0.995991984
94,-1231,1139,-1.080772608
95,-3393,2669,-1.271262645
96,-1167,1093,-1.067703568
97,-2489,2181,-1.141219624
98,-1423,1225,-1.161632653
99,-5772,4364,-1.32263978
100,-1961,1726,-1.136152955
101,-1905,1715,-1.110787172
102,-3007,2329,-1.291112065
103,-2059,1767,-1.165251839
104,-2246,1815,-1.237465565
105,-2167,1727,-1.25477707
106,-1086,1081,-1.004625347
107,-512,529,-0.967863894
108,-737,712,-1.03511236
109,-1445,1238,-1.16720517
110,-5020,3707,-1.354194767
111,-2448,2280,-1.073684211
112,-1010,999,-1.011011011
113,-717,750,-0.956
114,-1035,1026,-1.00877193
115,-2055,1713,-1.199649737
116,-1445,1377,-1.049382716
117,-1173,1043,-1.12464046
118,-1311,1275,-1.028235294
119,-1571,1273,-1.234092694
120,-1999,1694,-1.180047226
121,-1931,1575,-1.226031746
122,-3591,2768,-1.29732659
123,-1349,1250,-1.0792
124,-2778,2259,-1.229747676
125,-1172,1155,-1.014718615
126,-1278,1172,-1.090443686
127,-1939,1562,-1.241357234
128,-965,922,-1.046637744
129,-1425,1251,-1.139088729
130,-1155,1032,-1.119186047
131,-2013,1700,-1.184117647
132,-1771,1487,-1.190988568
133,-2896,2369,-1.222456733
134,-1876,1615,-1.161609907
135,-1678,1534,-1.093872229
136,-1338,1097,-1.219690064
137,-835,845,-0.98816568
138,-2809,2132,-1.317542214
139,-797,883,-0.902604757
140,-1240,1211,-1.023947151
141,-1037,951,-1.090431125
142,-1179,1067,-1.104967198
143,-2126,1727,-1.231036479
144,-1330,1263,-1.053048298
145,-1633,1321,-1.236184709
146,-2022,1622,-1.246609125
147,-2128,1669,-1.275014979
148,-876,889,-0.985376828
149,-1145,1037,-1.104146577
150,-1104,1001,-1.102897103
151,-871,913,-0.953997809
152,-1718,1448,-1.186464088
153,-2460,1928,-1.27593361
154,-2137,1830,-1.167759563
155,-2299,1807,-1.272274488
156,-2172,1716,-1.265734266
157,-2261,1875,-1.205866667
158,-1789,1526,-1.172346003
159,-712,742,-0.959568733
160,-1358,1150,-1.180869565
161,-771,810,-0.951851852
162,-1260,1054,-1.19544592
163,-1803,1598,-1.128285357
164,-1601,1344,-1.191220238
165,-597,664,-0.899096386
166,-896,917,-0.977099237
167,-375,463,-0.809935205
168,-1200,1138,-1.054481547
169,-1068,1078,-0.990723562
170,-1272,1111,-1.144914491
171,-2432,2007,-1.211758844
172,-3909,2993,-1.306047444
173,-910,902,-1.00886918
174,-1444,1305,-1.10651341
175,-550,609,-0.903119869
176,-1809,1539,-1.175438596
177,-2394,1962,-1.220183486
178,-2480,2119,-1.170363379
179,-2054,1690,-1.215384615
180,-2689,2095,-1.28353222
181,-1663,1452,-1.145316804
182,-1306,1118,-1.168157424
183,-1102,966,-1.140786749
184,-1087,1057,-1.028382214
185,-605,657,-0.920852359
186,-1015,993,-1.022155086
187,-2049,1827,-1.121510673
188,-1785,1494,-1.194779116
189,-823,865,-0.951445087
190,-859,832,-1.032451923
191,-3412,2618,-1.30328495
192,-1379,1253,-1.100558659
193,-570,634,-0.899053628
194,-1107,1001,-1.105894106
195,-1294,1216,-1.064144737
196,-881,869,-1.013808976
197,-878,885,-0.992090395
198,-1530,1256,-1.218152866
199,-1477,1501,-0.98401066
200,-2032,1556,-1.305912596
201,-1778,1655,-1.074320242
202,-2208,1773,-1.24534687
203,-1202,1181,-1.017781541
204,-846,879,-0.962457338
205,-691,723,-0.955739972
206,-1935,1601,-1.208619613
207,-2209,1774,-1.245208568
208,-770,782,-0.984654731
209,-1096,965,-1.135751295
210,-1245,1163,-1.070507309
211,-1835,1535,-1.195439739
212,-2151,1735,-1.239769452
213,-1642,1435,-1.144250871
214,-1294,1235,-1.047773279
215,-1910,1569,-1.217335883
216,-1135,1129,-1.005314438
217,-1473,1248,-1.180288462
218,-1168,1011,-1.15529179
219,-780,744,-1.048387097
220,-650,650,-1
221,-1586,1359,-1.167034584
222,-550,610,-0.901639344
223,-664,736,-0.902173913
224,-2064,1706,-1.209847597
225,-1180,1080,-1.092592593
226,-1070,1096,-0.976277372
227,-1992,1674,-1.189964158
228,-588,640,-0.91875
229,-564,654,-0.862385321
230,-2957,2291,-1.29070275
231,-1113,961,-1.158168574
232,-1632,1410,-1.157446809
233,-1180,1000,-1.18
234,-929,869,-1.069044879
235,-297,388,-0.765463918
236,-1236,1197,-1.032581454
237,-1609,1379,-1.166787527
238,-1186,1086,-1.092081031
239,-1198,1068,-1.121722846
240,-921,1036,-0.888996139
241,-952,973,-0.978417266
242,-600,680,-0.882352941
243,-1244,1080,-1.151851852
244,-1185,1120,-1.058035714
245,-920,963,-0.955347871
246,-1597,1364,-1.170821114
247,-587,618,-0.949838188
248,-674,707,-0.953323904
249,-1413,1270,-1.112598425
250,-2165,1801,-1.202109939
251,-974,960,-1.014583333
252,-843,859,-0.98137369
253,-517,598,-0.864548495
254,-1019,940,-1.084042553
255,-1513,1277,-1.184808144
256,-825,846,-0.975177305
257,-1563,1366,-1.144216691
258,-640,663,-0.965309201
259,-530,621,-0.853462158
260,-841,788,-1.067258883
261,-1254,1115,-1.124663677
