,Step,Value,value,ave_reward
0,2,-7246,4920,-1.472764228
1,3,-6799.7,4625.6,-1.470014701
2,4,-6696.83,4560.24,-1.468525779
3,5,-6268.047,4279.516,-1.464662593
4,6,-5979.1423,4090.9644,-1.461548358
5,7,-5843.72807,4006.36796,-1.458609925
6,8,-5532.655263,3802.831164,-1.454877964
7,9,-5709.389737,3928.448048,-1.45334485
8,10,-5721.550763,3939.303243,-1.452427094
9,11,-6015.695687,4144.872919,-1.451358294
10,12,-5534.426118,3821.285627,-1.448315216
11,13,-5249.983506,3636.657064,-1.443628974
12,14,-5178.485156,3592.391358,-1.441514757
13,15,-5039.03664,3505.252222,-1.43756749
14,16,-4976.432976,3464.227,-1.436520464
15,17,-4746.689678,3310.1043,-1.434000034
16,18,-4711.220711,3285.59387,-1.433902332
17,19,-4724.89864,3296.634483,-1.433249171
18,20,-4786.908776,3336.171034,-1.434851129
19,21,-4671.317898,3260.553931,-1.432676164
20,22,-4555.086108,3185.098538,-1.430124077
21,23,-4405.577497,3084.688684,-1.428208143
22,24,-4468.819748,3127.819816,-1.428733115
23,25,-4599.637773,3221.737834,-1.427688412
24,26,-4497.373996,3154.664051,-1.42562692
25,27,-4948.236596,3466.997646,-1.427239676
26,28,-4788.212936,3364.397881,-1.423200556
27,29,-4632.491643,3260.058093,-1.420984385
28,30,-4793.442479,3364.952284,-1.424520194
29,31,-4672.198231,3281.457055,-1.423818186
30,32,-4581.878408,3222.01135,-1.422055328
31,33,-4578.790567,3216.310215,-1.423615964
32,34,-4508.81151,3171.079193,-1.421853961
33,35,-4334.130359,3054.371274,-1.41899264
34,36,-4394.417323,3097.034147,-1.418911486
35,37,-4245.075591,2997.030732,-1.416427114
36,38,-4232.568032,2983.627659,-1.418597934
37,39,-4294.311229,3027.464893,-1.418451206
38,40,-4442.080106,3131.118404,-1.418688
39,41,-4193.772095,2963.206563,-1.415281725
40,42,-4074.994886,2882.185907,-1.41385567
41,43,-4029.095397,2854.767316,-1.411356847
42,44,-3850.985857,2733.190585,-1.408970849
43,45,-3933.287272,2787.271526,-1.411160425
44,46,-4126.558544,2921.044374,-1.412699712
45,47,-4653.80269,3286.439936,-1.416061994
46,48,-4630.122421,3267.595943,-1.416981323
47,49,-4850.610179,3421.636348,-1.417628785
48,50,-4711.149161,3327.572713,-1.415791499
49,51,-4742.834245,3348.315442,-1.4164837
50,52,-4675.85082,3305.083898,-1.41474497
51,53,-4359.165738,3091.475508,-1.41005993
52,54,-4192.149165,2978.927957,-1.407267723
53,55,-4597.534248,3252.335162,-1.413610228
54,56,-4393.780823,3114.801645,-1.410613363
55,57,-4508.502741,3198.221481,-1.409690595
56,58,-4589.152467,3251.199333,-1.411526024
57,59,-4423.93722,3141.8794,-1.408054434
58,60,-4317.243498,3069.39146,-1.406547049
59,61,-4253.019148,3028.152314,-1.404493139
60,62,-4253.717234,3029.637082,-1.404035242
61,63,-4064.44551,2903.073374,-1.400049185
62,64,-3998.300959,2855.166037,-1.400374237
63,65,-4109.370863,2936.949433,-1.399197009
64,66,-4061.733777,2906.85449,-1.397295183
65,67,-3924.260399,2812.769041,-1.395159127
66,68,-3860.634359,2768.292137,-1.394590661
67,69,-3750.070923,2696.162923,-1.390891808
68,70,-3750.963831,2698.246631,-1.39014862
69,71,-3712.067448,2670.421968,-1.390067747
70,72,-3699.360703,2658.979771,-1.391270721
71,73,-3748.924633,2692.281794,-1.392471116
72,74,-3885.23217,2786.053614,-1.39452886
73,75,-3948.908953,2828.048253,-1.396337191
74,76,-3943.418057,2825.943428,-1.395434183
75,77,-3935.876252,2826.949085,-1.392269947
76,78,-3944.088626,2832.754176,-1.392315881
77,79,-4132.979764,2959.678759,-1.396428498
78,80,-4132.381787,2960.810883,-1.395692582
79,81,-3850.343609,2769.429795,-1.390301937
80,82,-4134.609248,2966.486815,-1.393773007
81,83,-3944.348323,2835.138134,-1.391236736
82,84,-3808.213491,2739.82432,-1.389948057
83,85,-4119.492142,2958.641888,-1.392359163
84,86,-4109.642927,2952.177699,-1.392071666
85,87,-4043.078635,2903.059929,-1.392695546
86,88,-4055.470771,2912.753937,-1.392314922
87,89,-4167.623694,2992.778543,-1.392560002
88,90,-4062.361325,2923.500689,-1.389553743
89,91,-4268.025192,3069.15062,-1.390620964
90,92,-4197.022673,3026.635558,-1.386695753
91,93,-4128.220406,2980.572002,-1.385043006
92,94,-4023.098365,2909.914802,-1.382548507
93,95,-4000.988529,2900.123322,-1.37959255
94,96,-4010.689676,2905.210989,-1.380515801
95,97,-3988.220708,2892.18989,-1.37896226
96,98,-3980.598637,2888.270901,-1.37819435
97,99,-4117.938774,2982.043811,-1.380911561
98,100,-4035.444896,2926.23943,-1.379054924
99,101,-3925.400407,2852.015487,-1.37636013
100,102,-4367.160366,3158.613938,-1.382619228
101,103,-4520.744329,3263.952545,-1.385052101
102,104,-4382.069896,3167.25729,-1.383553496
103,105,-4579.662907,3309.131561,-1.383947064
104,106,-4420.296616,3203.018405,-1.380040967
105,107,-4505.966955,3267.016565,-1.379229908
106,108,-4722.570259,3415.914908,-1.382519877
107,109,-4468.513233,3240.723417,-1.378862883
108,110,-4491.26191,3242.151076,-1.385272248
109,111,-4436.035719,3204.535968,-1.384298932
110,112,-4283.232147,3098.882371,-1.382186103
111,113,-4326.008932,3131.594134,-1.381407918
112,114,-4380.908039,3175.734721,-1.379494329
113,115,-4128.617235,2998.261249,-1.377003834
