,Step,Value
0,6,-2666.0
1,7,-2921.1
2,11,-2720.89
3,12,-2728.0009999999997
4,14,-2871.5008999999995
5,15,-2745.3508099999995
6,16,-2650.615728999999
7,18,-2519.8541560999997
8,19,-2592.1687404899994
9,20,-2716.6518664409996
10,21,-2704.0866797968997
11,25,-2925.2780118172095
12,34,-3007.1502106354887
13,35,-2792.93518957194
14,37,-2729.841670614746
15,40,-2706.957503553271
16,41,-2790.5617531979437
17,43,-2671.1055778781492
18,45,-2628.6950200903343
19,46,-2607.225518081301
20,48,-2403.1029662731708
21,50,-2459.392669645854
22,51,-2546.9534026812685
23,54,-2480.8580624131414
24,55,-2796.972256171827
25,56,-2758.6750305546448
26,57,-2697.10752749918
27,58,-2672.996774749262
28,61,-2496.1970972743356
29,62,-2608.677387546902
30,64,-2873.509648792212
31,66,-2795.758683912991
32,67,-2842.7828155216916
33,68,-2704.9045339695226
34,69,-2501.1140805725704
35,72,-2528.0026725153134
36,73,-2471.002405263782
37,74,-2567.302164737404
38,75,-2782.2719482636635
39,77,-2676.744753437297
40,80,-2816.770278093567
41,85,-2934.59325028421
42,86,-3200.833925255789
43,87,-3194.25053273021
44,88,-3160.225479457189
45,89,-3090.50293151147
46,90,-2870.552638360323
47,95,-2918.0973745242904
48,103,-2899.987637071861
49,106,-2637.688873364675
50,107,-2419.419986028208
51,114,-2237.077987425387
52,117,-2131.8701886828485
53,119,-2206.1831698145634
54,120,-2095.964852833107
55,121,-2085.4683675497968
56,125,-2339.921530794817
57,126,-2191.2293777153354
58,127,-1968.506439943802
59,130,-1895.1557959494219
60,131,-2024.2402163544796
61,134,-1907.9161947190316
62,138,-2237.9245752471284
63,140,-2216.2321177224158
64,142,-2188.608905950174
65,143,-2093.048015355157
66,144,-1965.0432138196413
67,145,-1832.1388924376772
68,149,-1657.1250031939096
69,151,-1620.7125028745186
70,154,-1612.5412525870665
71,155,-1626.1871273283598
72,156,-1606.8684145955237
73,158,-1468.2815731359713
74,159,-1460.253415822374
75,160,-1851.8280742401366
76,163,-1693.145266816123
77,165,-1604.5307401345108
78,166,-1516.7776661210598
79,168,-1416.599899508954
80,169,-1415.0399095580585
81,172,-1317.3359186022526
82,177,-1500.5023267420272
83,178,-1625.6520940678242
84,179,-1613.086884661042
85,181,-1993.5781961949378
86,182,-2145.8203765754442
87,184,-1997.7383389179
88,186,-1890.96450502611
89,187,-1703.168054523499
90,188,-1592.651249071149
91,189,-1471.2861241640344
92,191,-1521.7575117476308
93,192,-1470.8817605728677
94,199,-1437.993584515581
95,203,-1403.994226064023
96,207,-1356.3948034576206
97,208,-1555.9553231118584
98,209,-1552.9597908006726
99,213,-1681.0638117206054
100,216,-1970.7574305485448
101,219,-1904.2816874936902
102,220,-1769.2535187443214
103,223,-1716.2281668698893
104,224,-1856.6053501829003
105,226,-1709.7448151646104
106,227,-1624.2703336481493
107,228,-1601.3433002833344
108,230,-2100.1089702550007
109,231,-2146.9980732295007
110,233,-2076.498265906551
111,234,-2426.8484393158956
112,235,-2345.663595384306
113,238,-2143.897235845876
114,241,-2031.5075122612884
115,246,-1922.6567610351597
116,248,-2073.991084931644
117,250,-2105.3919764384796
118,251,-2186.2527787946315
119,256,-1998.2275009151683
120,259,-1898.3047508236514
121,260,-1799.374275741286
122,261,-1627.0368481671574
123,262,-1579.3331633504417
124,264,-2033.6998470153976
125,268,-1963.6298623138578
126,270,-2195.866876082472
127,272,-2294.280188474225
128,274,-2290.0521696268024
129,279,-2366.246952664122
130,281,-2339.6222573977097
131,285,-2274.3600316579386
132,290,-2038.7240284921447
133,292,-1837.6516256429302
134,293,-1862.1864630786372
135,296,-1807.1678167707735
136,298,-1698.4510350936962
137,299,-1552.9059315843265
138,300,-1408.015338425894
139,302,-1579.0138045833046
140,303,-1926.9124241249742
141,304,-1791.121181712477
142,308,-1628.1090635412293
143,309,-1714.0981571871064
144,311,-1691.3883414683958
145,314,-1664.349507321556
146,318,-1514.5145565894004
147,319,-1432.8631009304604
148,320,-1297.2767908374144
149,321,-1360.949111753673
150,323,-1459.7542005783055
151,326,-1872.378780520475
152,327,-1990.6409024684274
153,328,-1955.2768122215848
154,331,-1918.3491309994263
155,332,-1988.1142178994835
156,334,-1996.0027961095352
157,340,-1845.2025164985816
158,342,-1738.8822648487235
159,345,-1586.3940383638512
160,346,-1455.554634527466
161,348,-1438.4991710747195
162,349,-1605.0492539672475
163,354,-1596.2443285705228
164,355,-1556.1198957134707
165,357,-1480.0079061421236
166,359,-1480.5071155279113
167,360,-1456.75640397512
168,361,-1312.3807635776081
169,364,-1421.3426872198474
170,365,-1750.7084184978626
171,368,-1583.7375766480764
172,369,-2394.7638189832687
173,371,-2354.9874370849416
174,372,-2286.0886933764473
175,374,-2384.0798240388026
176,378,-2270.171841634922
177,379,-2558.7546574714297
178,380,-2347.079191724287
179,382,-2516.471272551858
180,383,-2518.824145296672
181,386,-2373.041730767005
182,387,-2876.2375576903046
183,388,-2745.213801921274
184,389,-2626.7924217291466
185,391,-2632.613179556232
186,392,-2995.751861600608
187,393,-2722.8766754405474
188,394,-2548.5890078964926
189,403,-2688.1301071068433
190,404,-2575.9170963961587
191,406,-3008.7253867565432
192,409,-2742.852848080889
193,416,-2760.5675632728003
194,417,-2498.3108069455207
195,421,-2250.779726250969
196,422,-2586.001753625872
197,423,-2573.7015782632852
198,425,-2829.1314204369564
199,427,-2696.8182783932607
200,431,-2740.1364505539345
201,440,-2554.822805498541
202,441,-2455.940524948687
203,442,-2366.3464724538185
204,443,-2150.2118252084365
205,445,-2331.1906426875926
206,446,-2171.5715784188333
207,449,-3294.0144205769498
208,452,-3168.6129785192547
209,459,-2954.851680667329
210,460,-2778.966512600596
211,461,-2693.7698613405364
212,462,-2814.792875206483
213,464,-2791.313587685835
214,465,-3173.3822289172513
215,466,-3226.0440060255264
216,468,-3111.9396054229737
217,469,-3200.8456448806764
218,470,-3057.761080392609
219,472,-2844.4849723533484
220,474,-2776.7364751180135
221,475,-3939.862827606212
222,479,-3829.3765448455906
223,486,-3908.4388903610316
224,489,-3639.4950013249286
225,490,-3361.145501192436
226,492,-4227.830951073192
227,494,-3924.4478559658733
228,497,-3560.703070369286
229,508,-3735.732763332357
230,511,-4151.659486999121
231,512,-4581.193538299209
232,513,-5749.174184469288
233,515,-5770.456766022359
234,517,-5513.711089420123
235,518,-5015.339980478111
236,520,-4523.9059824303
237,525,-4077.9153841872703
238,526,-3662.6238457685436
239,532,-3329.561461191689
240,534,-2987.20531507252
241,535,-2676.884783565268
242,536,-2418.796305208741
243,537,-2172.4166746878673
244,538,-1942.5750072190806
245,539,-1734.2175064971727
246,540,-1650.1957558474555
247,541,-1473.87618026271
248,542,-1318.588562236439
249,543,-1244.329706012795
250,545,-1106.7967354115156
251,548,-984.7170618703641
252,549,-869.9453556833278
253,550,-774.450820114995
254,552,-701.6057381034956
255,556,-614.0451642931461
256,558,-564.2406478638314
257,560,-538.9165830774483
