,Episode,Return,Step
0,0,-913.0,929.0
1,1,-1348.1999999999998,1211.0
2,2,-1341.3799999999999,1203.0
3,3,-1494.3419999999999,1297.4
4,4,-1689.2078,1436.06
5,5,-1747.78702,1471.0539999999999
6,6,-1917.6083179999998,1585.2486
7,7,-2152.4474861999997,1746.0237399999999
8,8,-2136.3027375799998,1737.8213659999997
9,9,-2094.072463822,1708.6392293999997
10,10,-2079.2652174398,1701.1753064599998
11,11,-1975.43869569582,1629.6577758139997
12,12,-2093.994826126238,1702.8919982326
13,13,-2070.095343513614,1689.50279840934
14,14,-2106.6858091622526,1724.752518568406
15,15,-2138.417228246027,1748.6772667115654
16,16,-2690.5755054214246,2117.8095400404086
17,17,-2793.917954879282,2172.928586036368
18,18,-2683.726159391354,2100.4357274327313
19,19,-2725.2535434522188,2132.892154689458
20,20,-2489.228189106997,1965.9029392205123
21,21,-2373.7053701962973,1888.912645298461
22,22,-2375.4348331766673,1885.621380768615
23,23,-2428.5913498590003,1915.3592426917535
24,24,-2353.5322148731,1871.5233184225783
25,25,-2320.6789933857904,1856.3709865803205
26,26,-2359.1110940472113,1897.2338879222884
27,27,-2569.99998464249,2040.1104991300595
28,28,-2727.6999861782406,2155.6994492170534
29,29,-2683.3299875604166,2122.129504295348
30,30,-2667.996988804375,2102.916553865813
31,31,-2644.6972899239377,2079.424898479232
32,32,-2500.8275609315438,1976.482408631309
33,33,-2346.2448048383894,1872.0341677681781
34,34,-2208.9203243545508,1773.4307509913604
35,35,-2259.3282919190956,1812.0876758922243
36,36,-2184.695462727186,1755.178908303002
37,37,-2057.4259164544674,1675.9610174727018
38,38,-2034.1833248090206,1651.8649157254317
39,39,-2202.0649923281185,1765.6784241528885
40,40,-2419.7584930953067,1908.9105817375996
41,41,-2394.882643785776,1906.1195235638395
42,42,-2401.9943794071983,1911.5075712074556
43,43,-2530.5949414664783,2016.95681408671
44,44,-2472.9354473198305,1969.761132678039
45,45,-2394.1419025878477,1918.4850194102353
46,46,-2344.0277123290625,1880.836517469212
47,47,-2378.1249410961564,1902.5528657222908
48,48,-2297.8124469865406,1847.0975791500616
49,49,-2333.0312022878866,1870.3878212350555
50,50,-2473.1280820590982,1961.4490391115498
51,51,-2439.9152738531884,1932.2041352003948
52,52,-2407.6237464678693,1907.2837216803553
53,53,-2319.061371821082,1852.5553495123197
54,54,-2210.955234638974,1779.2998145610877
55,55,-2194.159711175077,1757.0698331049791
56,56,-2082.0437400575693,1680.6628497944812
57,57,-2082.7393660518123,1678.3965648150331
58,58,-2149.965429446631,1730.25690833353
59,59,-2211.568886501968,1767.4312175001771
60,60,-2164.511997851771,1738.4880957501593
61,61,-2081.660798066594,1683.2392861751434
62,62,-2137.4947182599344,1714.3153575576289
63,63,-2122.945246433941,1709.8838218018661
