Episode,Return,Step
0,-7595.0,7850
1,-2943.0,3191
2,-6131.0,6384
3,-7993.0,8249
4,-7962.0,8220
5,-9288.0,9544
6,-15636.0,15899
7,-3216.0,3462
8,-6107.0,6361
9,-3813.0,4065
10,-6244.0,6498
11,-15186.0,15447
12,-3126.0,3361
13,-6434.0,6681
14,-8649.0,8909
15,-5588.0,5842
16,-9752.0,10009
17,-8950.0,9207
18,-6047.0,6298
19,-5315.0,5563
20,-12155.0,12414
21,-5822.0,6075
22,-18371.0,18633
23,-11765.0,12025
24,-9237.0,9492
25,-2489.0,2731
26,-11759.0,12020
27,-2269.0,2502
28,-7073.0,7329
29,-7194.0,7451
30,-14805.0,15065
31,-12772.0,13031
32,-14404.0,14666
33,-4893.0,5142
34,-6446.0,6703
35,-4303.0,4552
36,-5504.0,5757
37,-12059.0,12318
38,-3095.0,3345
39,-7615.0,7871
40,-7021.0,7276
41,-3363.0,3609
42,-22293.0,22555
43,-11493.0,11753
44,-12514.0,12775
45,-17750.0,18012
46,-8177.0,8436
47,-1383.0,1616
48,-2671.0,2919
49,-8030.0,8286
50,-9909.0,10168
51,-5927.0,6186
52,-2130.0,2372
53,-17956.0,18218
54,-18670.0,18931
55,-3607.0,3855
56,-5083.0,5339
57,-5603.0,5858
58,-4994.0,5248
59,-3972.0,4224
60,-4922.0,5177
61,-9942.0,10197
62,-5747.0,6000
63,-10556.0,10816
64,-4802.0,5062
65,-6201.0,6458
66,-14992.0,15253
67,-5880.0,6135
68,-7000.0,7255
69,-3710.0,3961
70,-3342.0,3591
71,-3086.0,3337
72,-2999.0,3250
73,-3947.0,4200
74,-3169.0,3420
75,-5216.0,5469
76,-3357.0,3611
77,-11764.0,12026
78,-1879.0,2113
79,-1795.0,2026
80,-2947.0,3199
81,-2686.0,2935
82,-6840.0,7098
83,-2789.0,3041
84,-2226.0,2473
85,-1811.0,2056
86,-6876.0,7131
87,-1696.0,1942
88,-8303.0,8562
89,-3096.0,3351
90,-1275.0,1520
91,-1713.0,1956
92,-2745.0,2993
93,-2362.0,2597
94,-994.0,1240
95,-1131.0,1377
96,-2300.0,2550
97,-1592.0,1839
98,-578.0,820
99,-1178.0,1425
100,-242.0,470
101,-5548.0,5804
102,-2679.0,2929
103,-554.0,798
104,-1525.0,1755
105,-601.0,843
106,-1705.0,1955
107,-994.0,1240
108,-885.0,1134
109,-1986.0,2239
110,-973.0,1205
111,-140.0,370
112,-516.0,745
113,-2950.0,3203
114,-871.0,1102
115,-2074.0,2325
116,-242.0,471
117,-549.0,779
118,-1182.0,1427
119,-901.0,1142
120,-762.0,1007
121,-721.0,952
122,-838.0,1081
123,-338.0,570
124,74.0,153
125,-519.0,751
126,-68.0,296
127,-282.0,513
128,-482.0,710
129,-281.0,509
130,-740.0,988
131,-456.0,684
132,-258.0,486
133,-250.0,481
134,-278.0,509
135,-106.0,335
136,-293.0,520
137,-378.0,618
138,-456.0,687
139,-499.0,744
140,-382.0,613
141,-21.0,250
142,1.0,226
143,-379.0,607
144,-333.0,575
145,-78.0,305
146,-321.0,550
147,-123.0,363
148,-290.0,517
149,-87.0,315
150,-191.0,419
151,-84.0,324
152,-296.0,524
153,6.0,222
154,-207.0,436
155,-49.0,278
156,-437.0,681
157,-262.0,489
158,-24.0,252
159,94.0,133
160,-127.0,354
161,-179.0,406
162,-364.0,592
163,29.0,198
164,-311.0,539
165,-660.0,890
166,-338.0,569
167,-693.0,920
168,-598.0,827
169,-254.0,483
170,-129.0,357
171,73.0,154
172,-277.0,504
173,-1413.0,1641
174,-169.0,397
175,-47.0,274
176,-51.0,279
177,-44.0,271
178,-807.0,1046
179,-246.0,474
180,19.0,209
181,-154.0,381
182,-78.0,305
183,-25.0,253
184,-178.0,406
185,-211.0,438
186,-187.0,416
187,100.0,128
188,-834.0,1061
189,117.0,111
190,-92.0,320
191,38.0,189
192,145.0,82
193,62.0,165
194,134.0,93
195,176.0,51
196,74.0,153
197,-214.0,441
198,122.0,105
199,-61.0,288
200,-228.0,455
