,Step,Value
0,2,-17321.0
1,3,-16470.2
2,4,-18979.079999999998
3,5,-18333.471999999998
4,6,-18324.724799999996
5,7,-19896.652319999994
6,8,-19219.287087999994
7,9,-18985.058379199996
8,10,-18419.45254128
9,11,-18254.907287151997
10,12,-17827.316558436796
11,13,-17643.884902593116
12,14,-18450.096412333805
13,15,-18435.286771100426
14,16,-18876.35809399038
15,17,-18617.82228459134
16,18,-18280.540056132206
17,19,-17851.786050518986
18,20,-17977.107445467085
19,21,-17625.696700920376
20,22,-17131.62703082834
21,23,-17375.664327745504
22,24,-18384.297894970954
23,25,-18445.86810547386
24,26,-18259.881294926472
25,27,-18273.393165433827
26,28,-18558.053848890446
27,29,-19330.3484640014
28,30,-18825.51361760126
29,31,-19269.362255841137
30,32,-19217.026030257024
31,33,-19470.623427231323
32,34,-19180.96108450819
33,35,-19238.46497605737
34,36,-19200.318478451634
35,37,-19373.68663060647
36,38,-21038.317967545823
37,39,-20438.08617079124
38,40,-20231.077553712115
39,41,-20654.269798340905
40,42,-20302.742818506813
41,43,-20725.56853665613
42,44,-20591.711682990517
43,45,-21305.740514691468
44,46,-21870.366463222323
45,47,-21588.92981690009
46,48,-21657.236835210082
47,49,-21347.413151689077
48,50,-20287.47183652017
49,51,-19951.424652868154
50,52,-19920.582187581338
51,53,-19203.223968823204
52,54,-18798.601571940886
53,55,-17910.1414147468
54,56,-19380.727273272118
55,57,-19828.85454594491
56,58,-20242.26909135042
57,59,-20612.342182215376
58,60,-19934.60796399384
59,61,-18945.447167594455
60,62,-18127.40245083501
61,63,-17257.16220575151
62,64,-17403.74598517636
63,65,-18012.771386658722
64,66,-19003.09424799285
65,67,-18343.584823193563
66,68,-18308.62634087421
67,69,-17512.363706786786
68,70,-17389.627336108108
69,71,-16700.5646024973
70,72,-16778.908142247572
71,73,-15450.117328022816
72,74,-14847.505595220535
73,75,-14635.05503569848
74,76,-13363.849532128632
75,77,-13757.864578915769
76,78,-14460.278121024192
77,79,-14969.550308921773
78,80,-17062.895278029595
79,81,-17355.605750226634
80,82,-20402.645175203972
81,83,-20484.180657683573
82,84,-19946.062591915215
83,85,-19186.35633272369
84,86,-18417.32069945132
85,87,-17694.58862950619
86,88,-17217.52976655557
87,89,-18353.576789900013
88,90,-17433.519110910012
89,91,-16358.867199819011
90,92,-16224.08047983711
91,93,-17096.4724318534
92,94,-16834.62518866806
93,95,-15726.562669801253
94,96,-15763.506402821129
95,97,-15406.555762539016
96,98,-15895.500186285113
97,99,-15144.2501676566
98,100,-14587.925150890942
99,101,-13702.432635801848
100,102,-14114.889372221662
101,103,-14014.800434999495
102,104,-13533.720391499546
103,105,-13096.348352349592
104,106,-13115.213517114633
105,107,-15415.49216540317
106,108,-15540.042948862852
107,109,-16966.538653976568
108,110,-17542.48478857891
109,111,-17814.836309721017
110,112,-17779.252678748915
111,113,-18341.427410874025
112,114,-18163.18466978662
113,115,-17949.96620280796
114,116,-21198.06958252716
115,117,-20906.362624274443
116,118,-20153.026361846998
117,119,-19494.523725662297
118,120,-19374.77135309607
119,121,-19117.79421778646
120,122,-19251.614796007812
121,123,-19730.45331640703
122,124,-19132.107984766328
123,125,-22621.697186289693
124,126,-23114.427467660724
125,127,-22241.78472089465
126,128,-23928.006248805184
127,129,-24555.405623924667
128,130,-25665.0650615322
129,131,-25052.85855537898
130,132,-24409.17269984108
131,133,-24976.555429856973
132,134,-25441.599886871278
133,135,-25052.93989818415
134,136,-24079.745908365734
135,137,-24003.47131752916
136,138,-23894.324185776248
137,139,-22197.291767198625
138,140,-22063.96259047876
139,141,-21632.666331430883
140,142,-22876.399698287794
141,143,-23659.159728459013
142,144,-25059.64375561311
143,145,-23605.1793800518
144,146,-25550.56144204662
145,147,-23949.105297841958
146,148,-22788.99476805776
147,149,-24646.395291251985
148,150,-26068.255762126788
149,151,-24624.030185914107
150,152,-24449.727167322697
151,153,-23207.154450590424
152,154,-22263.43900553138
153,155,-21432.195104978244
154,156,-20895.47559448042
155,157,-19874.728035032378
156,158,-20244.45523152914
157,159,-20105.009708376227
158,160,-21697.208737538604
159,161,-22852.08786378474
160,162,-24212.279077406267
161,163,-23208.25116966564
162,164,-22949.826052699078
163,165,-22344.44344742917
164,166,-22179.399102686257
165,167,-21433.659192417632
166,168,-22229.39327317587
167,169,-25376.553945858283
168,170,-25060.698551272453
169,171,-24325.028696145208
170,172,-25222.125826530686
171,173,-24937.413243877618
172,174,-25976.471919489857
173,175,-25132.224727540874
174,176,-26763.802254786788
175,177,-26929.222029308108
176,178,-27848.999826377298
177,179,-26420.09984373957
178,180,-24967.589859365613
179,181,-24088.83087342905
180,182,-24706.347786086146
181,183,-23876.81300747753
182,184,-23415.731706729774
183,185,-22146.358536056796
184,186,-21334.422682451117
185,187,-19715.880414206007
186,188,-20075.592372785406
187,189,-20112.133135506865
188,190,-21043.91982195618
189,191,-22038.32783976056
190,192,-22056.195055784505
191,193,-21904.275550206057
192,194,-21425.447995185452
193,195,-20529.703195666905
194,196,-21164.532876100213
195,197,-21328.779588490193
196,198,-21073.801629641173
197,199,-20561.621466677057
198,200,-20397.95932000935
199,201,-22127.863388008416
200,202,-22128.577049207575
201,203,-21107.91934428682
202,204,-23610.527409858136
203,205,-21866.174668872325
204,206,-23169.05720198509
205,207,-23619.25148178658
206,208,-24971.626333607925
207,209,-23623.76370024713
208,210,-24089.48733022242
209,211,-25681.03859720018
210,212,-23742.23473748016
211,213,-23661.411263732145
212,214,-22563.87013735893
213,215,-20747.783123623034
214,216,-19269.10481126073
215,217,-18078.494330134658
216,218,-19504.94489712119
217,219,-19133.450407409073
218,220,-17919.405366668165
219,221,-16912.26483000135
220,222,-18990.938347001214
221,223,-20754.044512301094
222,224,-19884.240061070985
223,225,-21713.616054963884
224,226,-22205.854449467493
225,227,-23061.569004520745
226,228,-21978.512104068668
227,229,-21822.5608936618
228,230,-20378.30480429562
229,231,-20750.87432386606
230,232,-21308.186891479454
231,233,-19965.168202331508
232,234,-18928.151382098356
233,235,-19191.33624388852
234,236,-18331.20261949967
235,237,-17523.482357549703
236,238,-16851.734121794732
237,239,-17512.66070961526
238,240,-17481.194638653735
239,241,-17362.275174788363
240,242,-18210.147657309528
241,243,-18604.932891578574
242,244,-19598.939602420716
243,245,-19618.845642178643
244,246,-19255.26107796078
245,247,-21238.134970164698
246,248,-21304.72147314823
247,249,-19707.249325833407
248,250,-19266.724393250068
249,251,-19776.25195392506
250,252,-19108.726758532554
251,253,-20478.5540826793
252,254,-21402.39867441137
253,255,-21450.458806970233
254,256,-21370.91292627321
255,257,-20665.42163364589
256,258,-20060.5794702813
257,259,-20899.72152325317
258,260,-20183.64937092785
259,261,-19933.884433835065
260,262,-21507.29599045156
261,263,-20722.066391406403
262,264,-22655.559752265763
263,265,-22715.203777039187
264,266,-21950.68339933527
265,267,-21939.415059401745
266,268,-22435.473553461572
267,269,-21444.726198115415
268,270,-23007.953578303874
269,271,-22985.758220473486
270,272,-24218.18239842614
271,273,-23785.364158583525
272,274,-23990.927742725173
273,275,-25514.634968452654
274,276,-25156.971471607387
275,277,-27714.474324446644
276,278,-27302.82689200198
277,279,-29571.64420280178
278,280,-28467.879782521602
279,281,-27640.891804269442
280,282,-27011.902623842496
281,283,-26460.412361458246
282,284,-25794.87112531242
283,285,-25364.08401278118
284,286,-24556.375611503063
285,287,-23547.238050352757
286,288,-22742.31424531748
287,289,-22345.482820785735
288,290,-21621.934538707163
289,291,-20953.241084836445
290,292,-20677.3169763528
291,293,-19342.985278717522
292,294,-19404.88675084577
293,295,-19135.498075761192
294,296,-22892.748268185074
295,297,-21309.97344136657
296,298,-22432.976097229912
297,299,-22646.37848750692
298,300,-22081.340638756228
299,301,-22836.506574880605
300,302,-21851.655917392545
301,303,-22214.490325653293
302,304,-23728.841293087964
303,305,-25193.757163779166
304,306,-26756.98144740125
305,307,-27591.183302661124
306,308,-25201.764972395013
307,309,-23600.088475155513
308,310,-22795.379627639963
309,311,-22018.441664875965
310,312,-21826.597498388368
311,313,-21213.83774854953
312,314,-20898.753973694576
313,315,-21259.57857632512
314,316,-21826.920718692607
