,Step,Value
0,1,-21898.0
1,2,-21173.2
2,3,-19736.98
3,4,-18844.082
4,5,-18034.4738
5,6,-17156.42642
6,7,-16744.383778
7,8,-16047.5454002
8,9,-15134.59086018
9,10,-14106.231774162
10,11,-14695.7085967458
11,12,-14942.537737071221
12,13,-14230.2839633641
13,14,-13832.65556702769
14,15,-13312.790010324921
15,16,-13814.51100929243
16,17,-14185.359908363187
17,18,-13300.923917526869
18,19,-13542.53152577418
19,20,-13321.378373196763
20,21,-13942.140535877086
21,22,-13279.726482289378
22,23,-12911.55383406044
23,24,-13072.198450654396
24,25,-12891.678605588957
25,26,-12735.110745030062
26,27,-12949.799670527056
27,28,-12491.919703474352
28,29,-12075.927733126919
29,30,-11624.034959814227
30,31,-11665.931463832805
31,32,-11956.338317449525
32,33,-11289.804485704573
33,34,-11014.224037134116
34,35,-10954.601633420703
35,36,-10583.341470078634
36,37,-11039.80732307077
37,38,-11096.026590763693
38,39,-11065.823931687324
39,40,-11894.041538518592
40,41,-11463.537384666732
41,42,-10813.18364620006
42,43,-11502.665281580053
43,44,-10985.598753422048
44,45,-10701.038878079844
45,46,-10169.53499027186
46,47,-9962.481491244675
47,48,-10004.533342120207
48,49,-9492.280007908186
49,50,-9471.552007117369
50,51,-9406.896806405632
51,52,-9452.907125765068
52,53,-9378.516413188561
53,54,-9194.864771869707
54,55,-9080.178294682735
55,56,-9062.86046521446
56,57,-8878.074418693013
57,58,-8932.766976823712
58,59,-8956.49027914134
59,60,-8434.141251227207
60,61,-8778.627126104486
61,62,-9280.364413494037
62,63,-10011.227972144634
63,64,-9439.90517493017
64,65,-9963.514657437154
65,66,-9948.763191693439
66,67,-10245.786872524095
67,68,-10299.708185271686
68,69,-10171.937366744518
69,70,-10113.043630070066
70,71,-9755.539267063059
71,72,-9652.285340356753
72,73,-9505.156806321078
73,74,-10078.04112568897
74,75,-10170.737013120073
75,76,-9785.963311808066
76,77,-9528.46698062726
77,78,-9291.720282564535
78,79,-8890.048254308082
79,80,-8447.043428877274
80,81,-9207.239085989546
81,82,-8780.91517739059
82,83,-8945.423659651531
83,84,-8888.381293686378
84,85,-9002.94316431774
85,86,-9359.148847885965
86,87,-9658.633963097369
87,88,-10172.970566787631
