,Step,Value
0,1,-28413.0
1,2,-26503.0
2,3,-27020.0
3,4,-31648.0
4,5,-27938.600000000002
5,6,-25088.280000000002
6,7,-27625.024
7,8,-32100.019200000002
8,9,-26439.615360000003
9,10,-22572.292288000004
10,11,-28098.633830400002
11,12,-24210.50706432
12,13,-22060.205651456003
13,14,-19334.364521164804
14,15,-18115.491616931842
15,16,-18498.993293545474
16,17,-17277.99463483638
17,18,-15283.395707869106
18,19,-14051.316566295285
19,20,-19067.453253036227
20,21,-17522.56260242898
21,22,-17073.250081943184
22,23,-23642.000065554545
23,24,-20553.800052443636
24,25,-19929.640041954906
25,26,-20548.912033563924
26,27,-17463.52962685114
27,28,-16364.823701480913
28,29,-14158.058961184732
29,30,-16760.847168947785
30,31,-15302.877735158227
31,32,-13335.902188126582
32,33,-11492.721750501267
33,34,-9223.977400401012
34,35,-8616.58192032081
35,36,-9371.465536256648
36,37,-7872.772429005319
37,38,-9104.817943204256
38,39,-9678.054354563405
39,40,-9029.043483650725
40,41,-10972.23478692058
41,42,-9532.587829536464
42,43,-8618.070263629172
43,44,-8340.256210903337
44,45,-7923.20496872267
45,46,-7906.163974978136
46,47,-6957.931179982509
47,48,-6564.7449439860075
48,49,-5857.795955188806
49,50,-5901.636764151045
50,51,-5378.509411320836
51,52,-4947.407529056669
52,53,-5213.126023245335
53,54,-5726.500818596267
54,55,-6399.800654877014
55,56,-5949.640523901611
56,57,-5414.112419121288
57,58,-5726.08993529703
58,59,-5372.471948237624
59,60,-4976.377558590099
60,61,-5023.10204687208
61,62,-5220.281637497664
62,63,-5069.425309998131
63,64,-5455.940247998504
64,65,-4980.352198398803
65,66,-5750.081758719042
66,67,-5007.465406975233
67,68,-4862.372325580187
68,69,-4185.89786046415
69,70,-4243.718288371319
70,71,-4520.9746306970555
71,72,-4301.779704557644
72,73,-4272.223763646116
73,74,-5981.379010916892
74,75,-5908.503208733514
75,76,-5374.202566986811
76,77,-5367.162053589449
77,78,-4791.729642871559
78,79,-5190.583714297247
79,80,-4952.666971437798
80,81,-4573.533577150238
81,82,-5202.42686172019
82,83,-5683.141489376152
83,84,-5949.713191500921
84,85,-5743.770553200738
85,86,-4808.4164425605895
86,87,-5041.133154048472
87,88,-5313.106523238777
88,89,-5045.685218591022
89,90,-4221.948174872818
90,91,-5288.158539898254
91,92,-4721.526831918603
92,93,-4176.621465534883
93,94,-5348.297172427907
94,95,-4681.8377379423255
95,96,-5841.67019035386
96,97,-5005.536152283088
97,98,-4962.028921826471
98,99,-4797.423137461176
99,100,-5183.538509968941
100,101,-4614.630807975153
101,102,-4035.304646380123
102,103,-4124.443717104098
103,104,-3839.7549736832784
104,105,-3628.0039789466227
105,106,-3608.4031831572984
106,107,-3130.122546525839
107,108,-2828.298037220671
108,109,-2894.838429776537
109,110,-3575.270743821229
110,111,-3927.016595056983
111,112,-5384.013276045586
112,113,-6124.810620836469
113,114,-5710.2484966691745
114,115,-5259.99879733534
115,116,-4518.399037868272
116,117,-3837.3192302946177
117,118,-4429.655384235693
118,119,-3892.124307388555
119,120,-3673.299445910844
120,121,-3482.6395567286754
121,122,-3664.7116453829403
122,123,-3242.969316306352
123,124,-3290.975453045082
124,125,-2847.180362436066
125,126,-2774.9442899488527
126,127,-2539.355431959082
127,128,-2655.484345567266
128,129,-3297.9874764538126
129,130,-3493.9899811630503
130,131,-3747.99198493044
131,132,-3946.793587944352
132,133,-3230.234870355482
133,134,-3215.5878962843854
134,135,-3040.4703170275084
135,136,-2888.576253622007
136,137,-2607.6610028976056
137,138,-2644.3288023180844
138,139,-2596.4630418544675
139,140,-3536.370433483574
140,141,-3461.696346786859
141,142,-3467.9570774294875
142,143,-3548.76566194359
143,144,-2973.4125295548724
144,145,-2595.530023643898
145,146,-2528.224018915118
146,147,-2567.9792151320944
147,148,-2268.783372105676
148,149,-2112.0266976845405
149,150,-2621.6213581476322
150,151,-2227.897086518106
151,152,-2070.9176692144847
152,153,-2100.9341353715877
153,154,-1738.7473082972701
154,155,-2004.7978466378158
155,156,-2056.4382773102525
156,157,-2330.550621848202
157,158,-2145.2404974785613
158,159,-2337.992397982849
159,160,-2198.3939183862794
160,161,-2297.7151347090235
161,162,-2523.1721077672187
162,163,-2326.137686213775
163,164,-2164.51014897102
164,165,-1935.2081191768161
165,166,-1666.366495341453
166,167,-1554.8931962731624
167,168,-2456.71455701853
168,169,-2428.571645614824
169,170,-2657.457316491859
170,171,-3544.3658531934866
171,172,-2981.2926825547893
172,173,-6607.634146043831
173,174,-5727.707316835065
174,175,-6470.565853468052
175,176,-5390.852682774442
176,177,-4923.682146219554
177,178,-4169.945716975643
178,179,-4367.9565735805145
179,180,-3867.1652588644115
180,181,-3644.332207091529
181,182,-2961.2657656732235
182,183,-4428.812612538579
183,184,-3900.4500900308635
184,185,-3414.360072024691
185,186,-3018.288057619753
186,187,-2635.8304460958025
187,188,-2177.4643568766423
188,189,-2672.3714855013136
189,190,-2746.2971884010512
190,191,-2239.637750720841
191,192,-2166.9102005766727
192,193,-1776.3281604613383
193,194,-1790.6625283690705
194,195,-1487.1300226952565
195,196,-1313.1040181562053
196,197,-1582.0832145249642
197,198,-2607.266571619971
198,199,-3336.6132572959764
199,200,-4348.890605836781
200,201,-4494.712484669425
201,202,-4964.36998773554
202,203,-4046.8959901884323
203,204,-3318.516792150746
204,205,-2870.013433720597
205,206,-2345.0107469764775
206,207,-2080.208597581182
207,208,-1869.9668780649456
208,209,-1462.9735024519566
209,210,-1935.9788019615653
210,211,-1560.7830415692524
211,212,-1294.826433255402
212,213,-1250.4611466043216
213,214,-1468.7689172834573
214,215,-1701.4151338267657
215,216,-1560.7321070614125
216,217,-1623.58568564913
217,218,-1839.868548519304
218,219,-1753.2948388154432
219,220,-1474.2358710523545
220,221,-1397.5886968418836
221,222,-1397.6709574735069
222,223,-1243.5367659788053
223,224,-1681.029412783044
224,225,-2281.823530226435
225,226,-2129.6588241811482
226,227,-2628.3270593449183
227,228,-2067.061647475935
228,229,-1861.649317980748
229,230,-1450.5194543845985
230,231,-1683.2155635076788
231,232,-1516.572450806143
232,233,-2063.2579606449144
233,234,-1948.4063685159315
234,235,-2002.3250948127452
235,236,-1675.2600758501962
236,237,-2106.608060680157
237,238,-2204.8864485441254
238,239,-2208.3091588353004
239,240,-2162.2473270682403
240,241,-1779.7978616545925
241,242,-1413.4382893236739
242,243,-1494.350631458939
243,244,-1476.4805051671513
244,245,-1221.184404133721
245,246,-1094.9475233069768
246,247,-838.5580186455815
