,Episode,Return,Step
0,0,-7595.0,7850.0
1,1,-7129.8,7384.1
2,2,-7029.92,7284.09
3,3,-7126.228,7380.581
4,4,-7209.8052,7464.5229
5,5,-7417.62468,7672.470609999999
6,6,-8239.462212,8495.123549
7,7,-7737.115990800001,7991.8111941
8,8,-7574.10439172,7828.73007469
9,9,-7197.993952548,7452.357067221
10,10,-7102.5945572932005,7356.9213604989
11,11,-7910.93510156388,8165.92922444901
12,12,-7432.4415914074925,7685.436302004109
13,13,-7332.597432266743,7584.992671803698
14,14,-7464.237689040069,7717.393404623328
15,15,-7276.613920136063,7529.854064160995
16,16,-7524.152528122457,7777.768657744896
17,17,-7666.737275310211,7920.6917919704065
18,18,-7504.76354777919,7758.422612773366
19,19,-7285.787193001272,7538.88035149603
20,20,-7772.708473701145,8026.392316346427
21,21,-7577.63762633103,7831.253084711784
22,22,-8656.973863697927,8911.427776240605
23,23,-8967.776477328134,9222.784998616544
24,24,-8994.69882959532,9249.706498754891
25,25,-8344.128946635788,8597.835848879402
26,26,-8685.61605197221,8940.052263991462
27,27,-8043.954446774989,8296.247037592317
28,28,-7946.859002097491,8199.522333833085
29,29,-7871.573101887741,8124.670100449776
30,30,-8564.915791698966,8818.703090404799
31,31,-8985.62421252907,9239.93278136432
32,32,-9527.461791276164,9782.539503227888
33,33,-9064.015612148547,9318.4855529051
34,34,-8802.214050933693,9056.93699761459
35,35,-8352.292645840324,8606.443297853131
36,36,-8067.463381256291,8321.498968067819
37,37,-8466.61704313066,8721.149071261038
38,38,-7929.455338817595,8183.534164134934
39,39,-7898.009804935835,8152.28074772144
40,40,-7810.308824442251,8064.652672949295
41,41,-7365.577941998026,7619.087405654365
42,42,-8858.320147798224,9112.678665088928
43,43,-9121.788133018401,9376.710798580034
44,44,-9461.00931971656,9716.539718722031
45,45,-10289.908387744905,10546.085746849827
46,46,-10078.617548970415,10335.077172164845
47,47,-9209.055794073372,9463.169454948362
48,48,-8555.250214666035,8808.752509453525
49,49,-8502.725193199432,8756.477258508172
50,50,-8643.35267387949,8897.629532657355
51,51,-8371.717406491542,8626.46657939162
52,52,-7747.545665842387,8001.019921452457
53,53,-8768.391099258148,9022.717929307211
54,54,-9758.551989332333,10013.54613637649
55,55,-9143.3967903991,9397.691522738842
56,56,-8737.35711135919,8991.822370464957
57,57,-8423.921400223271,8678.440133418462
58,58,-8080.929260200944,8335.396120076615
59,59,-7670.036334180849,7924.256508068954
60,60,-7395.232700762764,7649.530857262058
61,61,-7649.909430686487,7904.2777715358525
62,62,-7459.618487617839,7713.849994382267
63,63,-7769.256638856054,8024.06499494404
64,64,-7472.530974970449,7727.858495449636
65,65,-7345.377877473404,7600.872645904673
66,66,-8110.040089726063,8366.085381314206
67,67,-7887.036080753457,8142.976843182785
68,68,-7798.332472678111,8054.1791588645065
69,69,-7389.4992254103,7644.861242978055
70,70,-6984.74930286927,7239.47511868025
71,71,-6594.874372582342,6849.227606812225
72,72,-6235.286935324108,6489.304846131003
73,73,-6006.458241791697,6260.374361517903
74,74,-5722.712417612527,5976.336925366113
75,75,-5672.041175851275,5925.603232829501
76,76,-5440.537058266147,5694.142909546552
77,77,-6072.883352439532,6327.328618591896
78,78,-5653.495017195579,5905.895756732707
79,79,-5267.6455154760215,5517.906181059437
80,80,-5035.580963928419,5286.015562953493
81,81,-4800.622867535578,5050.914006658144
82,82,-5004.56058078202,5255.62260599233
83,83,-4783.004522703818,5034.160345393097
84,84,-4527.304070433437,4778.0443108537875
85,85,-4255.673663390094,4505.839879768409
86,86,-4517.706297051084,4768.355891791568
87,87,-4235.535667345976,4485.720302612411
88,88,-4642.282100611379,4893.34827235117
89,89,-4487.653890550242,4739.113445116052
90,90,-4166.3885014952175,4417.202100604447
91,91,-3921.0496513456956,4171.081890544003
92,92,-3803.4446862111263,4053.273701489603
93,93,-3659.3002175900137,3907.6463313406425
94,94,-3392.7701958310126,3640.881698206578
95,95,-3166.5931762479113,3414.4935283859204
96,96,-3079.93385862312,3328.0441755473285
97,97,-2931.140472760808,3179.1397579925956
98,98,-2695.826425484727,2943.2257821933363
99,99,-2544.043782936255,2791.4032039740027
100,100,-2313.8394046426292,2559.2628835766027
101,101,-2637.2554641783663,2883.736595218942
102,102,-2641.42991776053,2888.262935697048
103,103,-2432.686925984477,2679.236642127343
104,104,-2341.9182333860294,2586.812977914609
105,105,-2167.8264100474266,2412.431680123148
106,106,-2121.543769042684,2366.6885121108335
107,107,-2008.7893921384157,2254.0196608997503
108,108,-1896.4104529245742,2142.017694809775
109,109,-1905.3694076321167,2151.7159253287978
110,110,-1812.132466868905,2057.044332795918
111,111,-1644.9192201820147,1888.339899516326
112,112,-1532.0272981638132,1774.0059095646936
113,113,-1673.824568347432,1916.9053186082242
114,114,-1593.5421115126887,1835.4147867474019
115,115,-1641.5879003614198,1884.3733080726618
116,116,-1501.629110325278,1743.0359772653956
117,117,-1406.3661992927503,1646.6323795388562
118,118,-1383.9295793634753,1624.6691415849707
119,119,-1335.6366214271277,1576.4022274264737
120,120,-1278.272959284415,1519.4620046838263
121,121,-1222.5456633559734,1462.7158042154438
122,122,-1184.091097020376,1424.5442237938994
123,123,-1099.4819873183385,1339.0898014145096
124,124,-982.1337885865047,1220.4808212730586
125,125,-935.8204097278542,1173.5327391457527
126,126,-849.0383687550687,1085.7794652311773
127,127,-792.334531879562,1028.5015187080596
128,128,-761.3010786916057,996.6513668372537
129,129,-713.2709708224452,947.8862301535283
130,130,-715.9438737402007,951.8976071381754
131,131,-689.9494863661807,925.1078464243578
132,132,-646.7545377295627,881.1970617819221
133,133,-607.0790839566064,841.1773556037299
134,134,-574.1711755609457,807.959620043357
135,135,-527.3540580048511,760.6636580390212
136,136,-503.918652204366,736.5972922351191
137,137,-491.3267869839294,724.7375630116071
138,138,-487.7941082855365,720.9638067104463
139,139,-488.9146974569828,723.2674260394017
140,140,-478.22322771128455,712.2406834354615
141,141,-432.50090494015615,666.0166150919154
142,142,-389.15081444614054,622.0149535827238
143,143,-388.1357330015265,620.5134582244514
144,144,-382.62215970137385,615.9621124020063
145,145,-352.15994373123647,584.8659011618056
146,146,-349.04394935811285,581.3793110456251
147,147,-326.43955442230157,559.5413799410625
148,148,-322.7955989800714,555.2872419469562
149,149,-299.2160390820643,531.2585177522606
150,150,-288.3944351738579,520.0326659770345
151,151,-267.9549916564721,500.4293993793311
152,152,-270.75949249082487,502.78645944139794
153,153,-243.0835432417424,474.70781349725814
154,154,-239.47518891756815,470.8370321475323
155,155,-220.42767002581135,451.5533289327791
156,156,-242.0849030232302,474.4979960395012
157,157,-244.07641272090717,475.94819643555104
158,158,-222.06877144881648,453.55337679199596
159,159,-190.46189430393483,421.4980391127964
160,160,-184.11570487354135,414.74823520151676
161,161,-183.6041343861872,413.87341168136504
162,162,-201.6437209475685,431.6860705132285
163,163,-178.57934885281165,408.3174634619057
164,164,-191.82141396753048,421.38571711571507
165,165,-238.6392725707774,468.24714540414357
166,166,-248.57534531369964,478.3224308637292
167,167,-293.01781078232966,522.4901877773563
168,168,-323.5160297040967,552.9411689996207
169,169,-316.564426733687,545.9470520996587
170,170,-297.8079840603183,527.0523468896928
171,171,-260.7271856542865,489.7471122007235
172,172,-262.35446708885786,491.17240098065116
173,173,-377.41902037997204,606.155160882586
174,174,-356.5771183419748,585.2396447943274
175,175,-325.61940650777734,554.1156803148947
176,176,-298.15746585699964,526.6041122834052
177,177,-272.74171927129964,501.04370105506473
178,178,-326.16754734416963,555.5393309495582
179,179,-318.15079260975267,547.3853978546024
180,180,-284.4357133487774,513.5468580691422
181,181,-271.3921420138997,500.29217226222795
182,182,-252.05292781250972,480.76295503600517
183,183,-229.34763503125876,457.98665953240464
184,184,-224.2128715281329,452.7879935791642
185,185,-222.8915843753196,451.3091942212478
186,186,-219.30242593778763,447.7782747991231
187,187,-187.37218334400887,415.80044731921083
188,188,-252.03496500960796,480.3204025872897
189,189,-215.13146850864717,443.3883623285608
190,190,-202.81832165778246,431.0495260957047
191,191,-178.7364894920042,406.8445734861342
192,192,-146.36284054280378,374.3601161375208
193,193,-125.52655648852341,353.42410452376873
194,194,-99.57390083967108,327.3816940713919
195,195,-72.01651075570398,299.74352466425273
196,196,-57.41485968013358,285.06917219782747
197,197,-73.07337371212022,300.6622549780447
198,198,-53.566036340908205,281.09602948024025
199,199,-54.30943270681739,281.78642653221624
200,200,-71.67848943613565,299.1077838789946
201,201,-97.81064049252208,325.3970054910952
202,202,-110.12957644326987,337.65730494198567
